File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
zr2096_10_s1_R1_val_1_bismark_bt2_pe.bam	17448883	3585012	11875219	1988652	0	150670	3434342	60855875	6802392	2072612	224742	13857622	617812	37280695
zr2096_1_s1_R1_val_1_bismark_bt2_pe.bam	28603346	2299993	24953333	1350020	0	73049	2226944	39529814	4252678	1129238	121631	8767791	372137	24886339
zr2096_2_s1_R1_val_1_bismark_bt2_pe.bam	30325606	5898473	20848304	3578828	1	357487	5540986	84341486	9405458	2556396	270517	19722626	836239	51550250
zr2096_3_s1_R1_val_1_bismark_bt2_pe.bam	29548753	6143399	19650427	3754927	0	356192	5787207	101848268	12775527	2506421	324947	23305151	871626	62064596
zr2096_4_s1_R1_val_1_bismark_bt2_pe.bam	23970516	5194561	15690218	3085737	0	168028	5026533	77784040	7757276	2714886	237140	17719197	730836	48624705
zr2096_5_s1_R1_val_1_bismark_bt2_pe.bam	31503281	6213355	21809843	3480083	0	373151	5840204	96381187	9568841	3132996	341342	21319450	1024051	60994507
zr2096_6_s1_R1_val_1_bismark_bt2_pe.bam	23909493	5127457	15685916	3096120	0	186706	4940751	77489938	8738664	1946085	235438	17600634	712136	48256981
zr2096_7_s1_R1_val_1_bismark_bt2_pe.bam	29273635	5560803	20689615	3023217	0	222796	5338007	92316637	9708762	2509696	344182	20669192	996765	58088040
zr2096_8_s1_R1_val_1_bismark_bt2_pe.bam	29483218	5162019	21488196	2833003	0	253566	4908453	81716706	7694110	2674951	299912	18378435	925265	51744033
zr2096_9_s1_R1_val_1_bismark_bt2_pe.bam	31847541	6030681	22269696	3547164	0	823325	5207356	90111105	10936380	2186658	353176	20344334	964989	55325568
