File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
zr2096_10_s1_R1_bismark_bt2_pe.bam	10000	5476	2805	1719	0	0	5476	189284	18472	8427	1345	42228	4569	114243
zr2096_1_s1_R1_bismark_bt2_pe.bam	10000	2530	6709	761	0	1	2529	81198	7180	3215	617	16918	3994	49274
zr2096_2_s1_R1_bismark_bt2_pe.bam	10000	5005	3407	1588	0	4	5001	158134	15102	6549	1285	35758	5276	94164
zr2096_3_s1_R1_bismark_bt2_pe.bam	10000	5583	2628	1789	0	1	5582	194605	21681	6661	1445	43123	4620	117075
zr2096_4_s1_R1_bismark_bt2_pe.bam	10000	5532	2681	1787	0	0	5532	177679	15435	7999	1155	38807	5016	109267
zr2096_5_s1_R1_bismark_bt2_pe.bam	10000	5290	3067	1643	0	0	5290	176153	15197	7270	1267	37436	4823	110160
zr2096_6_s1_R1_bismark_bt2_pe.bam	10000	5632	2559	1809	0	0	5632	180677	17859	6629	1203	39618	4603	110765
zr2096_7_s1_R1_bismark_bt2_pe.bam	10000	5351	3140	1509	0	0	5351	180381	16312	6750	1331	39028	4642	112318
zr2096_8_s1_R1_bismark_bt2_pe.bam	10000	4805	3690	1505	0	0	4805	156859	13026	6649	1109	34130	4711	97234
zr2096_9_s1_R1_bismark_bt2_pe.bam	10000	5195	3209	1596	0	0	5195	183746	19918	6454	1544	40511	4966	110353
