Sample	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_percent_fails
zr2096_10_s1_R1	17717127.0	7.605162501151852	26.0	91.04559119545736	8.333333333333332
zr2096_10_s1_R2	17717127.0	7.371966349022358	26.0	91.07965744107382	8.333333333333332
zr2096_1_s1_R1	28982766.0	28.583395592844525	29.0	91.16985383658688	8.333333333333332
zr2096_1_s1_R2	28982766.0	28.2102253477658	29.0	91.08646835157141	8.333333333333332
zr2096_2_s1_R1	30798582.0	14.750054143230798	28.0	86.23558162515404	8.333333333333332
zr2096_2_s1_R2	30798582.0	14.438790856977917	28.0	86.18640955612827	8.333333333333332
zr2096_3_s1_R1	29892002.0	11.634831068437592	27.0	89.92022488155862	8.333333333333332
zr2096_3_s1_R2	29892002.0	11.286711753276919	27.0	89.84432859331402	8.333333333333332
zr2096_4_s1_R1	24341968.0	8.854483386432136	27.0	87.55352788237992	8.333333333333332
zr2096_4_s1_R2	24341968.0	8.678288961316	26.0	87.462764062462	8.333333333333332
zr2096_5_s1_R1	31778715.0	11.062803914748159	26.0	90.33847705925177	16.666666666666664
zr2096_5_s1_R2	31778715.0	10.897320268348793	25.0	90.1760675974469	8.333333333333332
zr2096_6_s1_R1	24237290.0	7.9539915906338905	26.0	88.04393552249446	8.333333333333332
zr2096_6_s1_R2	24237290.0	8.115048552463549	26.0	87.94128237934191	8.333333333333332
zr2096_7_s1_R1	29534746.0	9.27259621544107	26.0	91.47236092702474	8.333333333333332
zr2096_7_s1_R2	29534746.0	8.95963832633872	26.0	91.46145512813958	8.333333333333332
zr2096_8_s1_R1	29761837.0	12.895652173942835	26.0	90.61934033171407	8.333333333333332
zr2096_8_s1_R2	29761837.0	12.81506739517178	26.0	90.52724379882868	8.333333333333332
zr2096_9_s1_R1	32636231.0	15.844452041319002	27.0	90.11033234811948	8.333333333333332
zr2096_9_s1_R2	32636231.0	16.3809167975499	27.0	90.1271364331255	8.333333333333332
