File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
zr2096_10_s1_R1_val_1_bismark_bt2_pe.bam	10000	2085	6803	1112	0	0	2085	3300	336	109	11	714	23	2107
zr2096_1_s1_R1_val_1_bismark_bt2_pe.bam	10000	816	8704	480	0	0	816	1506	149	40	7	324	19	967
zr2096_2_s1_R1_val_1_bismark_bt2_pe.bam	10000	1915	6886	1199	0	1	1914	2659	309	73	10	640	19	1608
zr2096_3_s1_R1_val_1_bismark_bt2_pe.bam	10000	2144	6585	1271	0	0	2144	3338	393	90	11	733	23	2088
zr2096_4_s1_R1_val_1_bismark_bt2_pe.bam	10000	2104	6576	1320	0	0	2104	3054	307	108	14	650	27	1948
zr2096_5_s1_R1_val_1_bismark_bt2_pe.bam	10000	1996	6957	1047	0	0	1996	3055	312	77	13	677	22	1954
zr2096_6_s1_R1_val_1_bismark_bt2_pe.bam	10000	2184	6549	1267	0	0	2184	3484	423	83	5	794	27	2152
zr2096_7_s1_R1_val_1_bismark_bt2_pe.bam	10000	1930	7046	1024	0	0	1930	3528	369	98	14	723	40	2284
zr2096_8_s1_R1_val_1_bismark_bt2_pe.bam	10000	1802	7180	1018	0	0	1802	2922	257	118	11	614	34	1888
zr2096_9_s1_R1_val_1_bismark_bt2_pe.bam	10000	1890	6992	1118	0	0	1890	2907	346	53	16	697	23	1772
